depth,SK Validation ACC,SK Test ACC,SK Validation MCC,SK Test MCC
1,0.5990338164251208,0.6648936170212766,0.23884986295784022,0.37562652600113
2,0.6690821256038647,0.776595744680851,0.33688114808064484,0.5552058482866767
3,0.6920289855072463,0.7553191489361702,0.38877224624071477,0.5111012519999519
4,0.6992753623188406,0.75,0.4009833960622819,0.5002548347986613
5,0.7028985507246377,0.7606382978723404,0.4142680053919746,0.5220155972154844
6,0.7028985507246377,0.75,0.4175716747671095,0.5034590618560787
7,0.6884057971014492,0.7819148936170213,0.38540856942754576,0.5693003768824463
8,0.6920289855072463,0.7819148936170213,0.3881386888347522,0.5646291153555238
9,0.6896135265700483,0.7925531914893617,0.38269680184457455,0.585404593913327
10,0.6823671497584541,0.7712765957446809,0.36662687552769097,0.5428297143559941
11,0.6739130434782609,0.7606382978723404,0.3498080968333764,0.5213060955662004
12,0.6654589371980676,0.7553191489361702,0.3339706258200497,0.5106382978723404
13,0.6557971014492754,0.75,0.3134102378291793,0.5000282957471719
14,0.6533816425120773,0.7819148936170213,0.30857236167476915,0.5641171541346606
15,0.6461352657004831,0.7180851063829787,0.29273193484259274,0.43639251546266195
16,0.6352657004830918,0.7287234042553191,0.27178540767519144,0.4580953200054251
17,0.642512077294686,0.7446808510638298,0.28494460426451307,0.490361647617904
18,0.6328502415458938,0.723404255319149,0.2654715089811706,0.44772150434678193
19,0.6316425120772947,0.7180851063829787,0.26341492246321513,0.43639251546266195
20,0.6316425120772947,0.7340425531914894,0.2625026656175585,0.4697895639348803
